Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,32768,0,0.000,0,0.000,12,675558,675536,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,12,662891,662838,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,12,164079,162674,0.015,--------,stream-triad
5,1073741824,0,0.000,0,0.000,12,159029,158785,0.003,--------,stream-triad
5,32768,0,0.000,0,0.000,16,900732,900715,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,16,857662,857477,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,16,165099,164677,0.008,--------,stream-triad
5,1073741824,0,0.000,0,0.000,16,163265,163069,0.003,--------,stream-triad
5,32768,0,0.000,0,0.000,20,1125850,1125810,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,20,1078506,1078327,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,20,164529,164246,0.003,--------,stream-triad
5,1073741824,0,0.000,0,0.000,20,162371,162219,0.003,--------,stream-triad
5,32768,0,0.000,0,0.000,24,1350953,1350941,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,24,1252314,1252069,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,24,163300,163146,0.002,--------,stream-triad
5,1073741824,0,0.000,0,0.000,24,161499,161080,0.005,--------,stream-triad
5,32768,0,0.000,0,0.000,28,1576108,1576069,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,28,1478809,1478556,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,28,162756,162612,0.001,--------,stream-triad
5,1073741824,0,0.000,0,0.000,28,161326,160909,0.005,--------,stream-triad
5,32768,0,0.000,0,0.000,32,1801247,1801017,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,32,1711811,1711375,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,32,162333,158743,0.111,--------,stream-triad
5,1073741824,0,0.000,0,0.000,32,161268,161038,0.003,--------,stream-triad
