Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
Intel,4,5,1073741824,1,600.547,13,0.011,31,75134,75113,0,chaseload,stream-triad
Intel,5,5,1073741824,1,599.733,13,0.029,31,75125,75088,0.001,chaseload,stream-triad
ARM,1,5,1073741824,1,134.383,57,0,0,0,0,0,chaseload,memcpy-libc
ARM,2,5,1073741824,1,134.388,57,0,0,0,0,0,chaseload,memcpy-libc
ARM,3,5,1073741824,1,134.43,57,0,0,0,0,0,chaseload,memcpy-libc
ARM,4,5,1073741824,1,134.413,57,0,0,0,0,0,chaseload,memcpy-libc
ARM,5,5,1073741824,1,134.412,57,0,0,0,0,0,chaseload,memcpy-libc
ARM,1,5,1073741824,1,152.05,50,0,3,85943,85935,0,chaseload,memcpy-libc
ARM,2,5,1073741824,1,152.19,50,0,3,85921,85917,0,chaseload,memcpy-libc
ARM,3,5,1073741824,1,152.041,50,0,3,85954,85948,0,chaseload,memcpy-libc
ARM,4,5,1073741824,1,152.615,50,0,3,85943,85936,0,chaseload,memcpy-libc
ARM,5,5,1073741824,1,151.983,50,0,3,85949,85945,0,chaseload,memcpy-libc
ARM,1,5,1073741824,1,187.818,41,0,7,140832,140812,0.001,chaseload,memcpy-libc
ARM,2,5,1073741824,1,187.623,41,0.002,7,140835,140812,0.001,chaseload,memcpy-libc
ARM,3,5,1073741824,1,187.733,41,0,7,140851,140829,0.001,chaseload,memcpy-libc
ARM,4,5,1073741824,1,188.06,41,0,7,140844,140825,0.001,chaseload,memcpy-libc
ARM,5,5,1073741824,1,188.027,41,0.001,7,140862,140834,0.001,chaseload,memcpy-libc
ARM,1,5,1073741824,1,246.063,31,0.002,11,158207,158172,0.001,chaseload,memcpy-libc
ARM,2,5,1073741824,1,246.842,31,0.002,11,158201,158167,0.001,chaseload,memcpy-libc
ARM,3,5,1073741824,1,245.881,31,0.004,11,158214,158171,0.001,chaseload,memcpy-libc
ARM,4,5,1073741824,1,246.092,31,0.002,11,158200,158166,0.001,chaseload,memcpy-libc
ARM,5,5,1073741824,1,246.248,31,0.002,11,158205,158168,0.001,chaseload,memcpy-libc
ARM,1,5,1073741824,1,364.832,21,0.001,15,165514,165484,0.001,chaseload,memcpy-libc
ARM,2,5,1073741824,1,363.709,21,0.001,15,165518,165488,0.001,chaseload,memcpy-libc
ARM,3,5,1073741824,1,365.142,21,0,15,165520,165496,0.001,chaseload,memcpy-libc
ARM,4,5,1073741824,1,364.542,21,0.002,15,165515,165490,0.001,chaseload,memcpy-libc
ARM,5,5,1073741824,1,364.105,21,0.001,15,165516,165491,0.001,chaseload,memcpy-libc
ARM,1,5,1073741824,1,420.866,18,0.002,19,161708,161682,0,chaseload,memcpy-libc
ARM,2,5,1073741824,1,418.857,18,0.004,19,161719,161688,0,chaseload,memcpy-libc
ARM,3,5,1073741824,1,419.66,18,0.001,19,161703,161684,0,chaseload,memcpy-libc
